ssvid,eez,year,flag_iso3,fishing_hours,eez_iso3
412420276,8486,2022,CHN,61.52203611111111,CHN
431600210,NA,2024,JPN,61.37305555555556,high_seas
431600210,8315,2024,JPN,296.78111111111116,PLW
431680210,8315,2021,JPN,15.049925,PLW
431680210,NA,2021,JPN,31.26470833333333,high_seas
431812000,8316,2015,JPN,263.08,FSM
431812000,8488,2015,JPN,131.44305555555556,KIR
431812000,8324,2015,JPN,197.34333333333336,PNG
431812000,8314,2015,JPN,117.52611111111113,SLB
431812000,NA,2015,JPN,71.92916666666666,high_seas
416000285,8321,2022,TWN,6.664166666666667,TWN
431680310,8487,2016,JPN,701.656388888889,JPN
431680310,NA,2016,JPN,457.9502777777777,high_seas
431500880,NA,2017,JPN,1235.0180555555557,high_seas
431500880,8487,2017,JPN,514.4533333333334,JPN
416000415,8487,2021,TWN,20.728055555555557,JPN
416000415,8321,2021,TWN,21.842777777777776,TWN
416000415,NA,2021,TWN,3008.4641666666666,high_seas
416003055,NA,2018,TWN,1014.0805555555554,high_seas
416003055,8322,2018,TWN,1.2136111111111112,PHL
416003055,8316,2018,TWN,3854.1899999999996,FSM
416003055,8492,2018,TWN,1.7091666666666665,IDN
416003055,8315,2018,TWN,4.027222222222222,PLW
416002218,NA,2020,TWN,918.8458333333333,high_seas
416002218,8321,2020,TWN,4.103888888888889,TWN
416002218,8322,2020,TWN,28.424722222222222,PHL
416002218,8486,2020,TWN,0.058611111111111114,CHN
432966000,8488,2015,JPN,244.17694444444447,KIR
432966000,8314,2015,JPN,181.99916666666667,SLB
432966000,NA,2015,JPN,127.61111111111111,high_seas
432966000,8316,2015,JPN,225.68277777777777,FSM
432966000,8324,2015,JPN,175.96722222222223,PNG
432966000,8487,2015,JPN,90.28750000000001,JPN
432966000,8317,2015,JPN,6.434166666666666,NRU
416004411,NA,2014,TWN,4013.4472222222225,high_seas
510057000,8316,2017,FSM,788.2411111111113,FSM
510057000,8324,2017,FSM,509.0619444444445,PNG
510057000,8315,2017,FSM,12.266388888888889,PLW
510057000,8488,2017,FSM,4.931388888888888,KIR
510057000,8317,2017,FSM,62.11527777777778,NRU
510057000,NA,2017,FSM,5.103611111111111,high_seas
510057000,8314,2017,FSM,250.74333333333342,SLB
416000776,8322,2020,TWN,0.33805555555555555,PHL
416000776,NA,2020,TWN,1505.0916666666665,high_seas
416000776,8321,2020,TWN,34.50999999999999,TWN
416000776,8486,2020,TWN,34.5425,CHN
416000776,8315,2020,TWN,25.908888888888892,PLW
416000228,NA,2017,TWN,2368.3930555555553,high_seas
412420276,NA,2015,CHN,184.9741666666667,high_seas
412420276,8346,2015,CHN,146.42361111111111,LKA
412420276,8483,2015,CHN,8.530000000000001,MYS
412420276,8484,2015,CHN,0.6672222222222222,VNM
412420276,8480,2015,CHN,1058.4802777777777,IND
416003505,NA,2018,TWN,151.68388888888887,high_seas
416003505,8315,2018,TWN,2089.9547222222222,PLW
412420421,8492,2018,CHN,2598.116388888888,IDN
412420421,8333,2018,CHN,40.54833333333333,IND
412420421,NA,2018,CHN,2850.582777777777,high_seas
412420421,8480,2018,CHN,235.5677777777778,IND
412420421,8483,2018,CHN,1359.2647222222217,MYS
529729000,8326,2019,KIR,143.9600000000001,TUV
529729000,NA,2019,KIR,608.4352777777782,high_seas
529729000,8315,2019,KIR,0.8208333333333333,PLW
529729000,8488,2019,KIR,758.3600000000005,KIR
529729000,8324,2019,KIR,0.2891666666666667,PNG
529729000,8450,2019,KIR,342.91694444444465,KIR
529729000,8441,2019,KIR,1.7969444444444438,KIR
529729000,8449,2019,KIR,23.397500000000008,NZL
412420421,8432,2023,CHN,110.75249999999994,PER
412420421,NA,2023,CHN,4194.050000000001,high_seas
412446501,8486,2019,CHN,323.0575,CHN
412446501,8315,2019,CHN,4.841944444444444,PLW
431680630,NA,2019,JPN,584.1361111111111,high_seas
431680630,8487,2019,JPN,281.3583333333333,JPN
431680630,8315,2019,JPN,634.1816666666667,PLW
416002575,8321,2020,TWN,41.71944444444445,TWN
416003187,NA,2024,TWN,151.01666666666665,high_seas
412420276,8318,2016,CHN,70.44722222222222,MHL
412420276,8316,2016,CHN,113.16583333333334,FSM
412420276,8452,2016,CHN,21.57333333333333,USA
412420276,8492,2016,CHN,392.56444444444446,IDN
412420276,NA,2016,CHN,2121.766111111111,high_seas
412420276,5690,2016,CHN,22.130277777777778,RUS
412420276,8315,2016,CHN,57.51194444444445,PLW
412420276,8319,2016,CHN,47.4888888888889,USA
416004256,8316,2017,TWN,79.69916666666666,FSM
416004256,8487,2017,TWN,93.84166666666668,JPN
416004256,NA,2017,TWN,2721.982222222223,high_seas
416004256,8321,2017,TWN,70.89138888888888,TWN
201708106,NA,2021,UNK,2448.0838388888887,high_seas
510069000,8314,2016,FSM,20.58638888888889,SLB
510069000,8316,2016,FSM,308.5608333333334,FSM
510069000,8488,2016,FSM,492.0836111111112,KIR
510069000,8318,2016,FSM,6.333055555555553,MHL
510069000,NA,2016,FSM,576.5002777777779,high_seas
510069000,8450,2016,FSM,0.9127777777777778,KIR
510069000,8326,2016,FSM,64.31750000000002,TUV
510069000,8317,2016,FSM,34.105000000000004,NRU
553111765,8314,2018,PNG,16.545555555555556,SLB
553111765,8321,2018,PNG,11.661111111111113,TWN
553111765,8324,2018,PNG,531.1227777777777,PNG
553111765,8318,2018,PNG,17.132777777777775,MHL
553111765,8317,2018,PNG,439.64361111111134,NRU
553111765,8488,2018,PNG,351.3480555555557,KIR
